"osm_id","name","contents","direction","highway","lamp_mount","lamps","mapillary","material","maxspeed","maxspeed:advisory","power","source","source:maxspeed","support","survey:date","traffic_sign","geometry"
"6806985116",NA,NA,"90",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.290651, 40.2482458)
"6806985117",NA,NA,"120",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.32532, 40.2381489)
"6806985118",NA,NA,"140",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.3379019, 40.2526379)
"6818629372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.165825, 39.9783125)
"6818629373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658618, 39.9780633)
"6818629374",NA,NA,NA,"street_lamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1656423, 39.9778048)
"6818629377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658272, 39.9786516)
"6818629378",NA,NA,NA,"street_lamp",NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,"speed limit",c(-105.1656884, 39.9789013)
"6818629380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658447, 39.9795739)
"6818630499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"traffic_circle",c(-105.1662458, 39.9782766)
"6818634789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospital",c(-105.1651129, 39.9731439)
"6818655089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658581, 39.9777252)
"6818655090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1656798, 39.9774374)
"6818655099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658125, 39.9747243)
"6818655100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658233, 39.9745033)
"6818655101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1657254, 39.9741231)
"6818655105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1656275, 39.9736092)
"6818655108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1648993, 39.9729771)
"6818655109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1646726, 39.9729401)
"6818655110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1650106, 39.9728148)
"6818676679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.165866, 39.9799639)
"6818676680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658338, 39.9802383)
"6818676684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658352, 39.9808344)
"6818682984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1637634, 39.9867193)
"6818692686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658674, 39.9814458)
"6818692689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stop",c(-105.1660079, 39.9815212)
"6818692690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658362, 39.9817205)
"6818692691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1658349, 39.9819826)
"6818692694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stop",c(-105.1656377, 39.9816856)
"6818692703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1654911, 39.9839965)
"6818692704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1653234, 39.9841352)
"6818692711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1644074, 39.985243)
"6818692712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1643323, 39.9854197)
"6818692713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stop",c(-105.1641312, 39.9853334)
"6818692716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1645841, 39.9866583)
"6818692717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1643247, 39.9866464)
"6818692718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1644092, 39.9866597)
"6965433121",NA,NA,"30",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.5275289, 40.2203117)
"6965433122",NA,NA,"0",NA,NA,NA,NA,NA,"20 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.5267278, 40.1955594)
"6965433123",NA,NA,"280",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.525201, 40.1957162)
"6965433124",NA,NA,"270",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.5042322, 40.1882733)
"6965433125",NA,NA,"330",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.4633604, 40.1682366)
"6965433126",NA,NA,"270",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.4580307, 40.1665485)
"6965433127",NA,NA,"45",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.4518389, 40.164225)
"6965433128",NA,NA,"245",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.4497603, 40.1650891)
"6965433129",NA,NA,"270",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.445973, 40.168709)
